Station,temperature,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
"Canberra, Australia",Highest,41.6,41.6,35.5,31.8,24.1,17.7,18.8,21.3,30.2,32.1,39.9,39.1
"Canberra, Australia",Lowest,1.6,2.8,0.6,-1.9,-6.9,-7,-8.7,-7.6,-6.8,-3.4,-1.5,0.3
"Canberra, Australia",Mean,22.5,21.8,17.7,13.6,8.95,5.7,5.45,7.1,10.5,13.9,18.15,19.55
"Sydney, Australia",Highest,45.8,42.1,39.8,35.4,30,26.9,26.5,31.3,34.6,38.2,41.8,42.2
"Sydney, Australia",Lowest,10.6,9.6,9.3,7,4.4,2.1,2.2,2.7,4.9,5.7,7.7,9.1
"Sydney, Australia",Mean,25,24.3,22.65,19.45,16.1,13.4,12.95,14.7,17.6,20.55,22.25,24.15
"Melbourne, Australia",Highest,43.4,40.7,38.9,33.1,25.7,19,23.8,23.8,30.6,35.8,35.8,41.2
"Melbourne, Australia",Lowest,10.3,10,8.5,6.2,3.6,1.3,0.6,1.2,3.6,5.2,6.4,8.2
"Melbourne, Australia",Mean,25.975,24.975,22.7,18.925,13.85,10.95,11.375,12.325,16.2,18.95,20.825,23.325
"Adelaide, Australia",Highest,46.1,43.4,41.8,36.3,32.3,25.6,26.6,29.1,35.1,38.9,42.7,44.2
"Adelaide, Australia",Lowest,8.8,7.8,6.9,5.1,2.9,0.8,0.6,0.9,2,2.7,5.5,6.8
"Adelaide, Australia",Mean,25.45,25.1,23.1,19.45,15.5,12.05,11.3,12.9,15.8,18.95,21.9,24.1
"Perth, Australia",Highest,40.2,41.5,35.3,32,24.2,20.5,20.5,23.5,31.2,34.1,39.7,37.5
"Perth, Australia",Lowest,1.8,2.8,-2.2,-5,-6.2,-8.2,-8.9,-7.5,-5.5,-3,-1,0
"Perth, Australia",Mean,21.25,20.6,17.3,12.95,9.05,6,5.4,7.25,10.6,13.55,16.5,19.1
"Brisbane, Australia",Highest,40,41.7,37.9,33.7,30.7,29,29.1,35.4,37,38.7,38.9,40
"Brisbane, Australia",Lowest,17,16.5,12.2,10,5,5,2.6,4.1,7,8.8,10.8,14
"Brisbane, Australia",Mean,26.95,26.85,25.4,21.9,18.4,16.25,15.45,17.3,20.3,23.05,23.85,25.6
"Darwin, Australia",Highest,35.5,35.3,34.8,35.5,34.6,33.2,32.2,33.5,34.6,35.3,35.3,35.5
"Darwin, Australia",Lowest,22.6,21.7,21.7,22.8,18.9,18.6,16.6,17.6,21.6,20.6,19.9,20.4
"Darwin, Australia",Mean,28.225,28.125,28.4,29.175,27.475,26.625,24.725,25.825,28.475,28.45,27.85,28.6
"Hobart, Australia",Highest,41.8,40.1,37.3,31,25.7,20.6,22.1,24.5,31,34.6,36.8,40.6
"Hobart, Australia",Lowest,3.3,3.4,1.8,0.7,-1.6,-2.8,-2.8,-1.8,-0.8,0,0.3,3.3
"Hobart, Australia",Mean,20.35,19.9,17.95,14.5,11.25,8.7,8.35,9.7,12.1,14.6,17,18.65
"Newcastle, Australia",Highest,42.5,40.9,39,36.8,28.5,26.1,26.3,29.9,34.4,36.7,41,42
"Newcastle, Australia",Lowest,12,10.3,11.1,7.4,4.7,3,1.8,3.3,5,6.5,7.2,11
"Newcastle, Australia",Mean,25.55,24.75,23.25,20,16.45,13.8,13.5,14.95,18.1,20.75,22.65,24.25
"Gold Coast, Australia",Highest,40.9,40.6,36.5,34.5,32.2,27,27.3,34.5,35.6,38.3,39.9,39.7
"Gold Coast, Australia",Lowest,11.8,15.5,13.8,9.5,5.9,5.1,2.8,4.7,7,8.1,9.9,12.3
"Gold Coast, Australia",Mean,25.95,26.05,24.5,21.45,18.2,15.65,15.3,16.95,20,22.35,23.85,25.4
